fecha,estacion,rio,ph,turbidez_ntu,temperatura_c,oxigeno_disuelto_mg_l,coliformes_fecales_nmp,observaciones
2024-03-08,Estación Cruces Norte,Cruces,6.77,17.4,14.5,7.7,430,Precaución: contaminación
2024-03-08,Estación Cruces Sur,Cruces,6.38,39.5,14.9,6.8,529,Alerta: coliformes críticos
2024-03-22,Estación San Pedro,San Pedro,7.45,5.8,16.2,8.7,51,Muy buena calidad
2024-03-22,Estación Río Calle-Calle,Calle-Calle,7.07,11.1,15.4,8.0,169,Normal
2024-03-22,Estación Río Valdivia,Valdivia,7.09,10.6,14.5,7.9,167,Dentro de parámetros
2024-03-22,Estación Cruces Norte,Cruces,6.85,18.6,15.8,7.4,443,Coliformes elevados
2024-03-22,Estación Cruces Sur,Cruces,6.25,35.8,14.8,7.1,864,Alerta máxima
2024-04-06,Estación San Pedro,San Pedro,7.27,4.5,10.9,8.4,44,Excelente calidad
2024-04-06,Estación Río Calle-Calle,Calle-Calle,7.2,11.1,11.6,8.3,151,Aceptable
2024-04-06,Estación Río Valdivia,Valdivia,7.14,11.0,11.9,8.0,175,Normal
2024-04-06,Estación Cruces Norte,Cruces,6.71,18.3,11.7,7.6,299,Leve turbidez
2024-04-06,Estación Cruces Sur,Cruces,6.59,26.7,12.0,7.0,536,Alerta: contaminación fecal
2024-04-21,Estación San Pedro,San Pedro,7.36,5.8,13.7,8.4,50,Óptimo
2024-04-21,Estación Río Calle-Calle,Calle-Calle,7.0,12.0,14.5,7.9,151,Dentro de parámetros
2024-04-21,Estación Río Valdivia,Valdivia,7.23,9.3,14.1,8.2,144,Normal
2024-04-21,Estación Cruces Norte,Cruces,6.64,18.9,13.3,7.4,313,Coliformes elevados
2024-04-21,Estación Cruces Sur,Cruces,6.38,27.5,12.6,6.5,583,Alerta: contaminación fecal
2024-05-06,Estación San Pedro,San Pedro,7.32,5.8,8.9,8.6,43,Muy buena calidad
2024-05-06,Estación Río Calle-Calle,Calle-Calle,7.16,8.7,9.0,8.2,146,Normal
2024-05-06,Estación Río Valdivia,Valdivia,6.93,12.7,9.8,8.0,190,Normal
2024-05-06,Estación Cruces Norte,Cruces,7.0,17.1,9.0,7.3,407,Nivel preocupante
2024-05-06,Estación Cruces Sur,Cruces,6.79,38.8,9.4,7.0,586,Alerta: coliformes críticos
2024-05-21,Estación San Pedro,San Pedro,7.19,4.5,10.7,8.4,55,Óptimo
2024-05-21,Estación Río Calle-Calle,Calle-Calle,7.28,11.2,10.6,8.1,181,Normal
2024-05-21,Estación Río Valdivia,Valdivia,7.18,13.1,11.4,8.0,178,Normal
2024-05-21,Estación Cruces Norte,Cruces,7.1,22.1,10.0,7.4,447,Precaución: contaminación
2024-05-21,Estación Cruces Sur,Cruces,6.4,30.9,10.7,7.0,783,Alerta: coliformes críticos
2024-06-04,Estación San Pedro,San Pedro,7.32,3.5,8.9,8.5,40,Óptimo
2024-06-04,Estación Río Calle-Calle,Calle-Calle,7.01,6.8,8.0,8.5,76,Excelente calidad
2024-06-04,Estación Río Valdivia,Valdivia,7.03,7.9,8.8,8.1,123,Normal
2024-06-04,Estación Cruces Norte,Cruces,6.69,13.6,7.4,7.9,306,Nivel preocupante
2024-06-04,Estación Cruces Sur,Cruces,6.42,18.8,8.3,6.9,603,Alerta máxima
2024-06-18,Estación San Pedro,San Pedro,7.42,4.3,7.4,8.6,40,Óptimo
2024-06-18,Estación Río Calle-Calle,Calle-Calle,7.24,8.4,6.6,8.2,96,Aceptable
2024-06-18,Estación Río Valdivia,Valdivia,7.07,6.5,7.2,7.8,115,Dentro de parámetros
2024-06-18,Estación Cruces Norte,Cruces,6.95,13.0,6.8,7.6,266,Dentro de parámetros
2024-06-18,Estación Cruces Sur,Cruces,6.33,20.1,7.8,7.0,605,Alerta: contaminación fecal
2024-07-04,Estación San Pedro,San Pedro,7.53,3,5.1,8.8,44,Óptimo
2024-07-04,Estación Río Calle-Calle,Calle-Calle,7.01,7.9,6.7,8.4,83,Muy buena calidad
2024-07-04,Estación Río Valdivia,Valdivia,7.13,8.1,5.4,8.1,99,Dentro de parámetros
2024-07-04,Estación Cruces Norte,Cruces,6.73,11.2,6.2,7.4,276,Normal
2024-07-04,Estación Cruces Sur,Cruces,6.7,26.3,5.6,6.9,446,Nivel preocupante
2024-07-18,Estación San Pedro,San Pedro,7.5,3.2,6.6,8.9,45,Excelente calidad
2024-07-18,Estación Río Calle-Calle,Calle-Calle,7.04,7.1,6.8,8.5,123,Normal
2024-07-18,Estación Río Valdivia,Valdivia,7.27,7.9,5.9,8.0,80,Óptimo
2024-07-18,Estación Cruces Norte,Cruces,6.83,15.1,7.7,7.6,179,Leve turbidez
2024-07-18,Estación Cruces Sur,Cruces,6.8,19.3,6.3,7.2,435,Precaución: contaminación
2024-08-01,Estación San Pedro,San Pedro,7.26,3.5,6.9,8.5,43,Muy buena calidad
2024-08-01,Estación Río Calle-Calle,Calle-Calle,6.98,7.0,7.5,8.5,88,Excelente calidad
2024-08-01,Estación Río Valdivia,Valdivia,7.25,8.7,7.6,8.2,108,Dentro de parámetros
2024-08-01,Estación Cruces Norte,Cruces,6.85,15.6,6.8,7.6,213,Sedimentos presentes
2024-08-01,Estación Cruces Sur,Cruces,6.74,20.2,7.7,6.7,467,Precaución: contaminación
2024-08-17,Estación San Pedro,San Pedro,7.27,3.7,10.1,8.5,40,Excelente calidad
2024-08-17,Estación Río Calle-Calle,Calle-Calle,6.99,6.2,10.7,8.5,94,Óptimo
2024-08-17,Estación Río Valdivia,Valdivia,6.95,7.1,9.5,7.8,85,Excelente calidad
2024-08-17,Estación Cruces Norte,Cruces,6.9,13.4,9.1,7.8,189,Aceptable
2024-08-17,Estación Cruces Sur,Cruces,6.68,20.0,10.3,7.2,430,Nivel preocupante
2024-09-01,Estación San Pedro,San Pedro,7.36,4.4,9.9,8.4,63,Óptimo
2024-09-01,Estación Río Calle-Calle,Calle-Calle,7.0,8.1,9.4,7.8,109,Aceptable
2024-09-01,Estación Río Valdivia,Valdivia,7.25,12.3,10.1,7.7,156,Normal
2024-09-01,Estación Cruces Norte,Cruces,6.99,17.7,10.5,7.2,380,Precaución: contaminación
2024-09-01,Estación Cruces Sur,Cruces,6.76,27.5,10.2,7.0,511,Alerta: contaminación fecal
2024-09-17,Estación San Pedro,San Pedro,7.44,5.7,8.8,8.6,74,Óptimo
2024-09-17,Estación Río Calle-Calle,Calle-Calle,7.08,9.5,10.4,8.2,100,Normal
2024-09-17,Estación Río Valdivia,Valdivia,6.94,11.7,9.6,8.1,166,Normal
2024-09-17,Estación Cruces Norte,Cruces,6.82,20.8,10.1,7.7,404,Nivel preocupante
2024-09-17,Estación Cruces Sur,Cruces,6.42,33.2,9.4,7.0,766,Alerta: contaminación fecal
2024-10-01,Estación San Pedro,San Pedro,7.24,5.2,14.2,8.9,66,Excelente calidad
2024-10-01,Estación Río Calle-Calle,Calle-Calle,7.07,8.6,14.8,8.0,109,Aceptable
2024-10-01,Estación Río Valdivia,Valdivia,7.16,10.1,13.8,7.8,164,Dentro de parámetros
2024-10-01,Estación Cruces Norte,Cruces,6.97,16.0,13.9,7.6,251,Leve turbidez
2024-10-01,Estación Cruces Sur,Cruces,6.41,27.4,14.7,7.0,783,Alerta: coliformes críticos
2024-10-15,Estación San Pedro,San Pedro,7.21,5.1,13.5,8.5,76,Excelente calidad
2024-10-15,Estación Río Calle-Calle,Calle-Calle,6.95,9.7,13.4,8.3,160,Normal
2024-10-15,Estación Río Valdivia,Valdivia,7.16,12.2,13.4,7.7,179,Aceptable
2024-10-15,Estación Cruces Norte,Cruces,6.86,21.2,14.7,7.4,416,Coliformes elevados
2024-10-15,Estación Cruces Sur,Cruces,6.72,34.2,14.5,6.8,555,Alerta: contaminación fecal
2024-10-31,Estación San Pedro,San Pedro,7.32,4.4,11.5,8.3,58,Excelente calidad
2024-10-31,Estación Río Calle-Calle,Calle-Calle,7.24,10.0,12.7,7.9,128,Aceptable
2024-10-31,Estación Río Valdivia,Valdivia,6.85,9.0,11.4,8.0,153,Normal
2024-10-31,Estación Cruces Norte,Cruces,6.89,15.9,12.5,7.2,319,Nivel preocupante
2024-10-31,Estación Cruces Sur,Cruces,6.52,32.0,12.2,6.7,608,Alerta: contaminación fecal
2024-11-14,Estación San Pedro,San Pedro,7.48,4.3,15.0,8.4,71,Óptimo
2024-11-14,Estación Río Calle-Calle,Calle-Calle,7.0,8.6,13.9,8.3,166,Dentro de parámetros
2024-11-14,Estación Río Valdivia,Valdivia,7.08,8.9,14.6,8.0,155,Normal
2024-11-14,Estación Cruces Norte,Cruces,6.81,17.2,14.8,7.6,431,Nivel preocupante
2024-11-14,Estación Cruces Sur,Cruces,6.63,31.0,14.3,7.0,486,Nivel preocupante
2024-11-28,Estación San Pedro,San Pedro,7.4,6.2,16.9,8.9,72,Excelente calidad
2024-11-28,Estación Río Calle-Calle,Calle-Calle,7.25,11.5,15.5,8.1,111,Aceptable
2024-11-28,Estación Río Valdivia,Valdivia,7.01,9.9,15.8,8.0,146,Normal
2024-11-28,Estación Cruces Norte,Cruces,7.05,19.5,15.1,7.7,370,Coliformes elevados
2024-11-28,Estación Cruces Sur,Cruces,6.65,27.3,15.7,6.9,690,Alerta máxima
2024-12-12,Estación San Pedro,San Pedro,7.44,8.0,18.0,8.3,72,Aceptable
2024-12-12,Estación Río Calle-Calle,Calle-Calle,7.11,13.1,17.8,7.9,137,Aceptable
2024-12-12,Estación Río Valdivia,Valdivia,6.83,12.1,16.3,7.9,268,Aceptable
2024-12-12,Estación Cruces Norte,Cruces,6.98,30.4,16.6,7.5,351,Nivel preocupante
2024-12-12,Estación Cruces Sur,Cruces,6.66,45,17.6,6.9,900,Alerta máxima
2024-12-26,Estación San Pedro,San Pedro,7.28,7.7,19.5,8.4,95,Óptimo
2024-12-26,Estación Río Calle-Calle,Calle-Calle,6.96,11.1,20.1,8.2,198,Aceptable
2024-12-26,Estación Río Valdivia,Valdivia,7.0,16.6,20.9,7.9,181,Leve turbidez
2024-12-26,Estación Cruces Norte,Cruces,6.86,25.9,20.1,7.5,438,Nivel preocupante
2024-12-26,Estación Cruces Sur,Cruces,6.42,45,19.3,6.9,880,Alerta: contaminación fecal
2025-01-09,Estación San Pedro,San Pedro,7.19,5.5,17.5,8.2,56,Óptimo
2025-01-09,Estación Río Calle-Calle,Calle-Calle,7.08,13.7,17.8,8.0,156,Dentro de parámetros
2025-01-09,Estación Río Valdivia,Valdivia,7.07,16.6,18.0,8.0,197,Sedimentos presentes
2025-01-09,Estación Cruces Norte,Cruces,6.79,22.0,17.6,7.6,542,Alerta: contaminación fecal
2025-01-09,Estación Cruces Sur,Cruces,6.62,45,17.7,6.9,900,Alerta: coliformes críticos
2025-01-23,Estación San Pedro,San Pedro,7.15,6.5,21.8,8.4,99,Óptimo
2025-01-23,Estación Río Calle-Calle,Calle-Calle,7.2,13.5,21.1,8.2,146,Aceptable
2025-01-23,Estación Río Valdivia,Valdivia,7.0,11.6,22.1,7.6,201,Normal
2025-01-23,Estación Cruces Norte,Cruces,6.77,29.6,20.9,7.2,364,Precaución: contaminación
2025-01-23,Estación Cruces Sur,Cruces,6.35,41.4,21.9,6.8,692,Alerta: coliformes críticos
2025-02-07,Estación San Pedro,San Pedro,7.38,5.6,18.2,8.5,88,Muy buena calidad
2025-02-07,Estación Río Calle-Calle,Calle-Calle,6.98,15.1,17.3,7.8,153,Leve turbidez
2025-02-07,Estación Río Valdivia,Valdivia,6.89,11.8,18.5,7.9,155,Aceptable
2025-02-07,Estación Cruces Norte,Cruces,6.73,26.6,18.6,7.6,468,Nivel preocupante
2025-02-07,Estación Cruces Sur,Cruces,6.44,45,18.9,6.5,754,Alerta: contaminación fecal
2025-02-21,Estación San Pedro,San Pedro,7.33,8.1,16.4,8.3,56,Aceptable
2025-02-21,Estación Río Calle-Calle,Calle-Calle,7.01,11.1,16.6,8.1,154,Normal
2025-02-21,Estación Río Valdivia,Valdivia,6.99,16.4,18.1,7.8,224,Sedimentos presentes
2025-02-21,Estación Cruces Norte,Cruces,6.65,29.7,18.1,7.2,550,Alerta: contaminación fecal
2025-02-21,Estación Cruces Sur,Cruces,6.32,42.3,17.4,6.8,900,Alerta máxima
2025-03-07,Estación San Pedro,San Pedro,7.27,4.5,17.6,8.4,65,Óptimo
2025-03-07,Estación Río Calle-Calle,Calle-Calle,7.04,8.3,18.2,8.4,115,Dentro de parámetros
2025-03-07,Estación Río Valdivia,Valdivia,6.88,10.0,18.6,7.7,135,Dentro de parámetros
2025-03-07,Estación Cruces Norte,Cruces,7.06,21.9,18.1,7.7,355,Nivel preocupante
2025-03-07,Estación Cruces Sur,Cruces,6.59,37.2,17.8,6.6,570,Alerta: coliformes críticos
